Trait,Score,%
none,"0",0.00%
Green Tshirt,784,7.84%
Black Shirt,760,7.60%
LightGreen Tshirt,740,7.40%
White Shirt,692,6.92%
Funny T-shirt,677,6.77%
Bloody Shirt,477,4.77%
Palmas Tshirt,461,4.61%
Lion Tshirt,444,4.44%
Purple Hudi,428,4.28%
White Hudi,401,4.01%
White Clothes,301,3.01%
Orange Hudi,297,2.97%
Back Hudi,294,2.94%
Red Hudi,282,2.82%
Green Hudi,274,2.74%
Yellow Hudi,252,2.52%
LightBlue Hudi,251,2.51%
Eth Shirt,208,2.08%
Street Wear,198,1.98%
I Love NY,179,1.79%
Shirt With Chain,161,1.61%
Rainbow Hudi,152,1.52%
Summer,146,1.46%
Track suit,137,1.37%
Coat,135,1.35%
Green LLC,135,1.35%
Striped Longsleeve,133,1.33%
LL Jacket,98,0.98%
Tux,75,0.75%
Brown Fashion,71,0.71%
Formal Look,65,0.65%
Black Fashion,65,0.65%
Winter Suit,53,0.53%
Safety Ballons,43,0.43%
Red Striped Longsleeve,32,0.32%
Superman,30,0.30%
Prisoner,26,0.26%
Safety Jacket,24,0.24%
Diving Suit,19,0.19%
N/A,0,0.00%
